_c0,title,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
1,$,1971,121,null,6.4,348,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,1,0,0,0
2,$1000 a Touchdown,1939,71,null,6,20,0,14.5,4.5,24.5,14.5,14.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
3,$21 a Day Once a Month,1941,7,null,8.2,5,0,0,0,0,0,24.5,0,44.5,24.5,24.5,,0,1,0,0,0,0,1
4,"$40,000",1996,70,null,8.2,6,14.5,0,0,0,0,0,0,0,34.5,45.5,,0,0,1,0,0,0,0
5,"$50,000 Climax Show, The",1975,71,null,3.4,17,24.5,4.5,0,14.5,14.5,4.5,0,0,0,24.5,,0,0,0,0,0,0,0
6,$pent,2000,91,null,4.3,45,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,14.5,14.5,,0,0,0,1,0,0,0
7,$windle,2002,93,null,5.3,200,4.5,0,4.5,4.5,24.5,24.5,14.5,4.5,4.5,14.5,R,1,0,0,1,0,0,0
8,'15',2002,25,null,6.7,24,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,1,0,1
9,'38,1987,97,null,6.6,18,4.5,4.5,4.5,0,0,0,34.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
10,'49-'17,1917,61,null,6,51,4.5,0,4.5,4.5,4.5,44.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
11,'68,1988,99,null,5.4,23,4.5,0,4.5,14.5,24.5,4.5,24.5,4.5,14.5,4.5,,0,0,0,1,0,0,0
12,'94 du bi dao zhi qing,1994,96,null,5.9,53,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,0,0,0,0
13,"'?' Motorist, The",1906,10,null,7,44,4.5,0,0,0,4.5,14.5,34.5,14.5,4.5,14.5,,0,0,1,0,0,0,1
14,'A',1965,10,null,6.7,11,14.5,0,0,0,0,14.5,4.5,4.5,14.5,24.5,,0,0,0,0,0,0,1
15,'A' gai waak,1983,106,null,7.1,1259,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,PG-13,1,0,1,0,0,0,0
16,'A' gai waak juk jaap,1987,101,null,7.2,614,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,PG-13,1,0,1,0,0,0,0
17,'Breaker' Morant,1980,107,null,7.9,2718,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0,0
18,'Bullitt': Steve McQueen's Commitment to Reality,1968,10,null,6.6,37,0,0,4.5,4.5,4.5,14.5,44.5,14.5,4.5,4.5,,0,0,0,0,1,0,1
19,'Crocodile' Dundee II,1988,110,null,5,7252,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,,1,0,1,0,0,0,0
20,'E',1981,7,null,8.6,15,0,0,0,0,4.5,4.5,0,14.5,24.5,45.5,,0,1,1,0,0,0,1
21,'El Chicko' - der Verdacht,1995,90,null,3.9,10,24.5,14.5,24.5,14.5,0,14.5,14.5,0,0,24.5,,0,0,1,0,0,0,0
22,'G' Men,1935,85,450000,7.2,281,0,4.5,4.5,4.5,4.5,14.5,34.5,34.5,4.5,4.5,,0,0,0,1,0,0,0
23,'Gator Bait,1974,88,null,3.5,100,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
24,'Gator Bait II: Cajun Justice,1988,95,null,3.1,54,24.5,14.5,4.5,14.5,4.5,14.5,0,4.5,0,4.5,,0,0,0,0,0,0,0
25,"'High Sign', The",1921,18,null,7.8,145,0,0,4.5,0,4.5,14.5,24.5,24.5,24.5,14.5,,0,0,1,0,0,0,1
26,'Hukkunud Alpinisti' hotell,1979,80,null,7.7,45,4.5,0,4.5,4.5,4.5,4.5,24.5,14.5,14.5,34.5,,0,0,0,0,0,0,0
27,"'Hyp-Nut-Tist', The",1935,6,null,6.2,18,4.5,0,0,24.5,0,24.5,14.5,14.5,14.5,0,,0,1,1,0,0,0,1
28,'I Do...',1989,86,null,6.2,10,0,0,0,24.5,24.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
29,'I Know Where I'm Going!',1945,92,null,7.7,825,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,0,1,0,1,0
30,'Java Madness' formerly titled 'Coffee Madness',1995,7,null,6.8,10,0,14.5,0,0,14.5,14.5,34.5,0,14.5,34.5,,0,0,1,0,0,0,1
31,"'Je vous salue, Marie'",1985,105,null,6.4,322,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,,0,0,0,1,0,0,0
32,'Kaash',1987,140,null,5.9,13,4.5,4.5,0,0,24.5,24.5,0,24.5,0,14.5,,0,0,0,1,0,0,0
33,'M' Word,1996,99,null,4.6,6,14.5,0,14.5,14.5,14.5,0,14.5,0,0,14.5,,0,0,1,0,0,1,0
34,"'Mad' Boy, I'll Blow Your Blues Away. Be Mine",1997,19,null,7.3,21,4.5,0,0,4.5,4.5,4.5,4.5,14.5,4.5,44.5,,0,0,0,0,0,0,1
35,'Manos' the Hands of Fate,1966,74,19000,1.6,7996,74.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,,0,0,0,0,0,0,0
36,'Merci la vie',1991,117,null,7.2,251,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
37,'Neath Brooklyn Bridge,1942,61,null,6.1,114,0,0,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,0,0,1,1,0,0,0
38,'Neath Canadian Skies,1946,41,null,5.4,7,14.5,0,14.5,14.5,0,24.5,0,14.5,0,14.5,,0,0,0,0,0,0,1
39,'Neath the Arizona Skies,1934,52,null,4.6,105,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
40,"'Night, Mother",1986,96,null,6.8,364,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,1,0,0,0
41,'O re,1989,90,null,3.9,8,0,14.5,14.5,0,0,34.5,0,14.5,14.5,14.5,,0,0,1,0,0,0,0
42,'Pimpernel' Smith,1941,120,null,7.2,139,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
43,'R Xmas,2001,83,null,4.9,288,14.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0,0
44,'Round Midnight,1986,133,null,7.3,902,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,0
45,"'Sheba, Baby'",1975,90,null,5.5,91,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,0,0
46,"'Sugar Chile' Robinson, Billie Holiday, Count Basie and His Sextet",1951,15,null,5.3,5,0,0,0,0,64.5,0,24.5,0,0,24.5,,0,0,0,0,0,0,1
47,"'Teddy' Bears, The",1907,15,null,5.8,23,4.5,4.5,4.5,0,4.5,14.5,24.5,24.5,4.5,4.5,,0,1,0,0,0,0,1
48,'Til There Was You,1997,113,23000000,4.8,799,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,PG-13,0,0,1,0,0,1,0
49,'Til We Meet Again,1940,99,null,6.3,83,4.5,4.5,0,4.5,14.5,24.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,1,0
50,'What's Your 'I.Q.'?' Number Two,1940,9,null,5.9,9,0,0,14.5,14.5,24.5,24.5,14.5,0,14.5,14.5,,0,0,0,0,1,0,1
51,"'burbs, The",1989,101,null,6,7641,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
52,(A)Torzija,2002,13,null,7.2,71,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0,1
53,(Entre nous),2002,82,null,4.8,22,14.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,0,0,,0,0,0,1,0,0,0
54,(Haru),1996,118,null,6.6,19,4.5,0,14.5,0,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1,0
55,(Paris: XY),2001,80,null,1.4,6,14.5,0,14.5,0,14.5,14.5,14.5,14.5,0,0,,0,0,0,1,0,0,0
56,(T)Raumschiff Surprise - Periode 1,2004,87,null,5.6,1275,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
57,*Corpus Callosum,2002,92,null,4.9,36,24.5,14.5,4.5,4.5,0,4.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
58,*batteries not included,1987,106,null,5.7,4148,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
59,+1 -1,1987,7,null,9.4,6,0,0,0,0,0,0,0,0,45.5,45.5,,0,1,1,0,0,0,1
60,-30-,1959,96,null,6.3,43,4.5,4.5,0,4.5,14.5,4.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
61,-But the Flesh Is Weak,1932,77,null,5.8,32,4.5,4.5,4.5,14.5,4.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
62,...4 ...3 ...2 ...1 ...morte,1967,95,null,3.6,67,34.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
63,...All the Marbles,1981,113,null,5.6,348,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,,1,0,1,1,0,1,0
64,...Almost,1990,84,null,5.3,38,0,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,1,0,1,0
65,...And Justice for All,1979,119,null,7,2610,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
66,...And Millions Die!,1973,93,null,4.4,23,14.5,0,4.5,34.5,24.5,14.5,0,0,0,14.5,,0,0,0,0,0,0,0
67,...Because She Disobeyed,1935,104,null,6,11,0,0,0,0,14.5,14.5,0,4.5,34.5,14.5,,0,0,1,1,0,0,0
68,"...Belpaese, Il",1977,109,null,5.2,11,4.5,0,0,0,34.5,34.5,4.5,4.5,0,0,,0,0,1,1,0,0,0
69,...Comme elle respire,1998,106,null,6.1,103,4.5,4.5,0,4.5,14.5,14.5,34.5,14.5,4.5,4.5,,0,0,1,0,0,0,0
70,...Is It the Design on the Wrapper?,1997,8,null,2.6,14,24.5,0,0,0,4.5,4.5,24.5,4.5,0,24.5,,0,0,0,0,0,0,1
71,...Ja teeb trikke,1978,10,null,7.9,7,0,0,0,0,0,0,14.5,24.5,24.5,24.5,,0,1,1,0,0,0,1
72,...Lost,2000,5,null,6.2,13,4.5,0,0,4.5,24.5,34.5,24.5,4.5,0,0,,0,0,0,0,0,0,1
73,...Maybe This Time,1980,96,null,5.7,8,0,0,0,0,24.5,34.5,24.5,14.5,0,0,,0,0,0,1,0,0,0
74,...Po prozvishchu 'Zver',1990,88,null,4.7,11,4.5,0,4.5,4.5,4.5,14.5,14.5,0,4.5,14.5,,1,0,0,0,0,0,0
75,...Quando Troveja,1999,92,null,4.6,25,4.5,0,4.5,14.5,24.5,14.5,24.5,14.5,4.5,0,,0,0,0,1,0,0,0
76,...To Skin a Cat,2004,22,null,8.1,11,0,4.5,0,0,4.5,0,4.5,14.5,4.5,44.5,,0,0,1,0,0,0,1
77,...a tutte le auto della polizia,1975,90,null,6.8,7,0,0,0,0,0,24.5,74.5,0,0,0,,0,0,0,0,0,0,0
78,...a zase ta Lucie!,1984,82,null,5.8,19,4.5,0,14.5,0,24.5,24.5,14.5,4.5,14.5,4.5,,0,0,1,0,0,0,0
79,"...al fin, el mar",2005,95,null,5,9,24.5,0,14.5,14.5,24.5,14.5,0,0,0,24.5,,0,0,0,1,0,1,0
80,...ani smrt nebere,1996,88,null,3.6,5,44.5,24.5,0,0,0,24.5,0,24.5,0,0,,0,0,0,0,0,0,0
81,"...borgnes sont rois, Les",1974,15,null,8.3,6,0,0,0,14.5,0,0,14.5,0,14.5,45.5,,0,0,0,0,0,0,1
82,"...dopo di che, uccide il maschio e lo divora",1971,96,null,6.1,5,0,0,0,0,0,44.5,0,44.5,0,24.5,,0,0,0,1,0,0,0
83,...e per tetto un cielo di stelle,1968,100,null,3.9,19,0,14.5,14.5,24.5,0,24.5,14.5,0,4.5,14.5,,0,0,0,0,0,0,0
84,...e tanta paura,1976,98,null,5.8,20,0,0,14.5,14.5,4.5,14.5,24.5,14.5,0,24.5,,0,0,0,0,0,0,0
85,...som havets nakna vind,1968,105,null,5.3,21,4.5,4.5,0,0,4.5,4.5,14.5,4.5,4.5,34.5,,0,0,0,1,0,1,0
86,...tick...tick...tick...,1970,100,null,6,145,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,14.5,,1,0,0,1,0,0,0
87,...und abends in die Scala,1958,94,null,5.7,5,0,0,24.5,0,0,0,64.5,24.5,0,0,,0,0,0,0,0,0,0
88,...und das ist erst der Anfang,2000,95,null,5.9,50,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,1,0
89,...und die Liebe lacht dazu,1957,97,null,6.8,5,0,0,0,24.5,0,0,44.5,44.5,0,0,,0,0,0,0,0,0,0
90,...ya no puede caminar.,2001,14,null,7.1,35,4.5,0,4.5,4.5,14.5,14.5,4.5,14.5,4.5,34.5,,0,0,0,0,0,0,1
91,.com for Murder,2002,96,5000000,3.7,271,64.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
92,00 Schneider - Jagd auf Nihil Baxter,1994,90,null,5.9,339,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,,0,0,1,0,0,0,0
93,002 agenti segretissimi,1964,83,null,3.6,6,34.5,0,0,0,0,14.5,14.5,14.5,0,14.5,,1,0,1,0,0,0,0
94,002 operazione Luna,1965,90,null,4.7,9,14.5,14.5,0,14.5,0,0,24.5,0,24.5,24.5,,0,0,1,0,0,0,0
95,06,1994,87,null,6.4,238,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,1,0,1,0
96,06/05,2004,117,null,6.3,165,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
97,07 con el 2 delante (Agente: Jaime Bonet),1966,101,null,1.8,13,64.5,0,4.5,4.5,0,0,14.5,4.5,0,0,,0,0,1,0,0,0,0
98,08/15,1954,95,null,4.6,65,14.5,0,0,4.5,14.5,4.5,24.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
99,08/15 - In der Heimat,1955,96,null,4.2,48,14.5,4.5,0,4.5,14.5,24.5,14.5,4.5,4.5,14.5,,0,0,0,1,0,0,0
100,08/15 - Zweiter Teil,1955,110,null,3.7,47,14.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,0,0
101,1 Giant Leap,2002,155,null,6.6,75,4.5,4.5,0,4.5,4.5,14.5,24.5,14.5,14.5,34.5,,0,0,0,0,1,0,0
102,1+1=3,1979,85,null,7.5,5,0,0,0,0,0,0,44.5,44.5,0,24.5,,0,0,1,0,0,0,0
103,"1,000 Dollars a Minute",1935,70,null,6.2,5,0,0,24.5,0,24.5,0,44.5,0,0,24.5,,0,0,1,0,0,0,0
104,"1,99 - Um Supermercado Que Vende Palavras",2003,72,null,4.9,28,4.5,4.5,4.5,4.5,14.5,4.5,14.5,24.5,4.5,14.5,,0,0,1,0,1,0,0
105,1-2-3-4 ou Les Collants noirs,1960,125,null,7.3,34,0,4.5,4.5,0,4.5,14.5,14.5,24.5,4.5,24.5,,0,0,0,1,0,0,0
106,1. April 2000,1952,105,null,6.9,27,4.5,0,0,14.5,14.5,4.5,14.5,14.5,14.5,24.5,,0,0,0,0,0,0,0
107,1/2 Mensch,1986,48,null,8.1,29,4.5,0,0,0,4.5,0,0,4.5,24.5,64.5,,0,0,0,0,1,0,0
108,10,1979,122,null,5.7,3170,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,0,0,1,0,0,1,0
109,10 Magnificent Killers,1977,84,null,2.6,9,64.5,0,0,14.5,14.5,14.5,0,0,0,0,,1,0,0,1,0,0,0
110,10 Rillington Place,1971,111,null,7.2,486,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0,0
111,10 Seconds,1998,10,null,7.3,21,0,0,0,4.5,4.5,14.5,24.5,34.5,4.5,4.5,,0,0,0,0,0,0,1
112,10 Things I Hate About You,1999,97,16000000,6.7,19095,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,PG-13,0,0,1,0,0,1,0
113,10 Violent Women,1982,95,null,3.8,31,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,0,4.5,,1,0,0,1,0,0,0
114,10 from Your Show of Shows,1973,92,null,8.6,61,4.5,0,4.5,4.5,0,4.5,4.5,14.5,14.5,44.5,,0,0,1,0,0,0,0
115,10 jaar leuven kort,2004,240,null,7.9,7,0,0,14.5,0,0,14.5,14.5,0,14.5,44.5,,0,0,0,1,0,0,1
116,10 on Ten,2004,88,null,5.9,40,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,1,0,0
117,10 pesos,2003,6,null,6.1,8,0,0,0,14.5,14.5,24.5,14.5,14.5,24.5,0,,0,0,0,0,0,0,1
118,10 to Midnight,1983,101,null,5.4,530,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,1,0,0,0,0,0,0
119,10.000 dollari per un massacro,1967,100,null,3.6,16,0,14.5,0,0,0,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,0,0,0
120,10.7,1997,28,null,8.8,5,0,0,0,0,0,0,0,64.5,0,44.5,,0,0,0,0,0,0,1
121,100 Days,1991,161,null,5.8,59,4.5,4.5,0,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,0,0,1,0
122,100 Days,2001,100,null,6.2,14,0,14.5,0,0,4.5,0,24.5,24.5,4.5,24.5,,0,0,0,1,0,0,0
123,100 Girls,2000,90,null,5.8,3349,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,1,0
124,100 Mile Rule,2002,98,1100000,5.6,181,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,14.5,R,0,0,1,0,0,0,0
125,100 Pro,2001,88,null,5.5,94,4.5,14.5,14.5,4.5,4.5,4.5,14.5,4.5,4.5,14.5,,0,0,1,0,0,0,0
126,100 Proof,1997,94,140000,3.3,19,14.5,14.5,4.5,14.5,14.5,14.5,14.5,0,0,24.5,,0,0,0,1,0,0,0
127,100 Rifles,1969,110,null,5.6,267,4.5,4.5,4.5,14.5,14.5,34.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0,0
128,100 Years at the Movies,1994,9,null,9.2,91,0,4.5,0,4.5,4.5,4.5,4.5,4.5,14.5,64.5,,0,0,0,0,1,0,1
129,100 minuta slave,2004,100,null,5.9,21,14.5,4.5,4.5,4.5,4.5,0,4.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
130,1000 Boomerangs,1995,101,null,4.6,7,45.5,14.5,0,0,0,14.5,0,14.5,0,0,,0,0,0,1,0,0,0
131,1000 Convicts and a Woman,1971,92,null,6.1,10,0,24.5,14.5,0,14.5,14.5,0,24.5,0,34.5,,0,0,0,1,0,0,0
132,1000 Rosen,1994,95,null,5.1,17,14.5,4.5,0,0,0,4.5,14.5,34.5,4.5,14.5,,0,0,0,1,0,0,0
133,1000 Shapes of a Female,1963,79,null,2.2,6,0,45.5,0,14.5,0,0,0,14.5,0,14.5,,0,0,1,0,0,0,0
134,"10000th Day, The",1997,18,null,8,5,0,0,0,0,0,24.5,44.5,0,0,44.5,,0,0,0,0,0,0,1
135,1001 Arabian Nights,1959,75,null,5.2,59,14.5,0,4.5,14.5,14.5,24.5,4.5,4.5,4.5,14.5,,0,1,0,0,0,0,0
136,1001 Erotic Nights 2,1986,79,null,7.7,15,14.5,0,0,0,4.5,4.5,14.5,14.5,4.5,44.5,,0,0,0,0,0,0,0
137,1001 Nights,1998,23,null,7.3,11,0,0,0,0,0,14.5,0,24.5,14.5,34.5,,0,0,0,0,0,0,1
138,"1001 nuits, Les",1990,98,null,5.1,122,4.5,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,,0,0,0,1,0,0,0
139,101,1989,117,200000,7.8,299,4.5,0,4.5,4.5,4.5,4.5,4.5,14.5,14.5,45.5,,0,0,0,0,1,0,0
140,101 Dalmatians,1996,103,null,5.5,5028,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
141,101 Rent Boys,2000,78,null,6.3,83,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,0,1,0,0
142,101 Ways (The Things a Girl Will Do to Keep Her Volvo),2000,100,null,5.5,68,4.5,4.5,4.5,14.5,4.5,14.5,24.5,14.5,14.5,4.5,,0,0,1,0,0,0,0
143,101-vy kilometer,2001,103,200000,5.8,7,0,0,14.5,0,0,44.5,0,14.5,0,24.5,,0,0,0,1,0,0,0
144,101byeonjae propose,1993,112,null,5.2,20,14.5,0,4.5,4.5,44.5,4.5,4.5,14.5,4.5,4.5,,0,0,1,0,0,1,0
145,102 Dalmatians,2000,100,85000000,4.7,1987,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
146,10:10,2000,14,null,6,6,0,0,0,14.5,14.5,34.5,14.5,14.5,0,0,,0,0,0,0,0,0,1
147,10:30 P.M. Summer,1966,85,null,6.2,42,4.5,0,0,4.5,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,1,0,0,0
148,10e chambre - Instants d'audience,2004,105,null,7.4,111,0,0,4.5,0,0,14.5,24.5,34.5,14.5,4.5,,0,0,0,0,1,0,0
149,11 Harrowhouse,1974,94,null,6,177,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
150,11 Uhr 59,2000,11,null,8.4,5,0,0,0,0,24.5,0,0,0,64.5,24.5,,0,0,0,0,0,0,1
151,"11 commandements, Les",2004,85,null,4.7,199,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,0,0,0,0
152,11'09''01 - September 11,2002,134,null,6.9,1264,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,0,0
153,11:11,2004,95,null,4.3,222,14.5,14.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,14.5,R,0,0,0,0,0,0,0
154,11:14,2003,95,6000000,7.1,605,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,1,1,0,0,0
155,12 + 1,1969,94,null,5.5,51,4.5,0,4.5,4.5,14.5,24.5,24.5,14.5,4.5,14.5,,0,0,1,0,0,0,0
156,12 Angry Men,1957,96,340000,8.7,29278,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,34.5,,0,0,0,1,0,0,0
157,12 B,2001,150,null,5.2,6,0,0,14.5,34.5,14.5,14.5,0,0,14.5,0,,0,0,0,1,0,0,0
158,12 Bucks,1998,86,null,5.1,46,14.5,4.5,14.5,4.5,4.5,14.5,14.5,4.5,4.5,4.5,,0,0,0,1,0,0,0
159,12 Hot Women,2003,4,null,5.2,24,14.5,0,4.5,4.5,4.5,14.5,0,4.5,4.5,45.5,,0,0,1,0,0,0,1
160,12 Stops on the Road to Nowhere,1999,18,null,7.2,24,14.5,0,0,0,0,4.5,14.5,14.5,14.5,44.5,,0,0,1,0,0,0,1
161,12 horas,2001,89,null,6.2,39,24.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,,0,0,1,1,0,0,0
162,12 mesyatsev,1956,55,null,8.5,14,0,0,0,0,0,0,4.5,4.5,24.5,64.5,,0,1,0,0,0,0,0
163,12 stulev,1971,161,null,8.9,252,4.5,0,4.5,0,4.5,4.5,4.5,4.5,14.5,64.5,,0,0,1,0,0,0,0
